frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
24, 0, 0.460, 0.98, 1, -71.7, -145.8, 948.7, 0.379, -0.309, 0.025, 0.00, 0.00, 2.47, 0.00, 0.00, 0.00, 0.00, 1.04, 0.00, 1.46, 0.00, 0.18, 0.00, 0.44, 0.51, 0.30, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25, 0, 0.480, 0.98, 1, -71.7, -146.6, 954.0, 0.387, -0.307, 0.025, 0.00, 0.00, 2.47, 0.00, 0.00, 0.00, 0.00, 0.98, 0.00, 1.62, 0.00, 0.17, 0.00, 0.36, 0.36, 0.25, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26, 0, 0.500, 0.98, 1, -70.9, -145.8, 950.1, 0.383, -0.314, 0.030, 0.00, 0.00, 2.48, 0.00, 0.00, 0.00, 0.00, 1.03, 0.00, 1.66, 0.00, 0.15, 0.00, 0.28, 0.30, 0.24, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27, 0, 0.520, 0.98, 1, -70.5, -145.8, 951.3, 0.386, -0.313, 0.030, 0.00, 0.00, 2.55, 0.00, 0.00, 0.00, 0.00, 0.86, 0.00, 1.63, 0.00, 0.21, 0.00, 0.23, 0.35, 0.20, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28, 0, 0.540, 0.98, 1, -70.3, -146.5, 954.9, 0.389, -0.313, 0.030, 0.00, 0.00, 2.60, 0.00, 0.00, 0.00, 0.00, 0.90, 0.00, 1.62, 0.00, 0.18, 0.00, 0.15, 0.46, 0.30, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
29, 0, 0.560, 0.98, 1, -69.7, -145.3, 946.5, 0.390, -0.308, 0.031, 0.00, 0.00, 2.64, 0.00, 0.00, 0.00, 0.00, 0.93, 0.00, 1.54, 0.00, 0.16, 0.00, 0.11, 0.44, 0.35, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
30, 0, 0.580, 0.98, 1, -70.0, -146.0, 950.9, 0.395, -0.314, 0.033, 0.00, 0.00, 2.59, 0.00, 0.00, 0.00, 0.00, 1.04, 0.00, 1.46, 0.00, 0.16, 0.00, 0.14, 0.33, 0.42, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
31, 0, 0.600, 0.98, 1, -70.0, -146.0, 951.7, 0.395, -0.309, 0.034, 0.00, 0.00, 2.61, 0.00, 0.00, 0.00, 0.00, 1.14, 0.00, 1.53, 0.00, 0.09, 0.00, 0.14, 0.31, 0.47, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
32, 0, 0.620, 0.98, 1, -70.3, -145.6, 950.6, 0.390, -0.310, 0.034, 0.00, 0.00, 2.56, 0.00, 0.00, 0.00, 0.00, 1.15, 0.00, 1.49, 0.00, 0.06, 0.00, 0.12, 0.37, 0.48, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
33, 0, 0.640, 0.98, 1, -70.6, -145.7, 951.6, 0.399, -0.315, 0.038, 0.00, 0.00, 2.58, 0.00, 0.00, 0.00, 0.00, 1.15, 0.00, 1.45, 0.00, 0.04, 0.00, 0.07, 0.36, 0.45, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
34, 0, 0.660, 0.98, 1, -70.5, -145.6, 953.0, 0.397, -0.307, 0.034, 0.00, 0.00, 2.53, 0.00, 0.00, 0.00, 0.00, 1.11, 0.00, 1.38, 0.00, 0.14, 0.00, 0.04, 0.34, 0.37, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
35, 0, 0.680, 0.98, 1, -69.8, -144.1, 945.0, 0.383, -0.301, 0.034, 0.00, 0.00, 2.60, 0.00, 0.01, 0.00, 0.00, 1.04, 0.00, 1.32, 0.00, 0.22, 0.00, 0.03, 0.26, 0.23, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
36, 0, 0.700, 0.98, 1, -70.3, -145.1, 950.9, 0.390, -0.301, 0.030, 0.00, 0.00, 2.60, 0.00, 0.01, 0.00, 0.00, 1.06, 0.00, 1.41, 0.00, 0.28, 0.00, 0.06, 0.32, 0.19, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
37, 0, 0.720, 0.98, 1, -70.2, -145.3, 951.6, 0.389, -0.302, 0.035, 0.00, 0.00, 2.65, 0.00, 0.01, 0.00, 0.00, 1.05, 0.00, 1.41, 0.00, 0.32, 0.00, 0.04, 0.26, 0.23, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
38, 0, 0.740, 0.98, 1, -70.6, -145.7, 954.7, 0.393, -0.309, 0.036, 0.00, 0.00, 2.61, 0.00, 0.00, 0.00, 0.00, 1.17, 0.00, 1.49, 0.00, 0.34, 0.00, 0.06, 0.41, 0.27, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
39, 0, 0.760, 0.98, 1, -70.3, -145.1, 948.4, 0.392, -0.299, 0.034, 0.00, 0.00, 2.60, 0.00, 0.00, 0.00, 0.00, 1.09, 0.00, 1.43, 0.00, 0.29, 0.00, 0.03, 0.42, 0.34, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
40, 0, 0.780, 0.98, 1, -70.6, -144.9, 946.5, 0.388, -0.301, 0.035, 0.00, 0.00, 2.54, 0.00, 0.00, 0.00, 0.00, 1.04, 0.00, 1.47, 0.00, 0.14, 0.00, 0.02, 0.55, 0.40, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
41, 0, 0.800, 0.98, 1, -70.7, -144.7, 945.3, 0.390, -0.301, 0.038, 0.00, 0.00, 2.50, 0.00, 0.00, 0.00, 0.00, 0.87, 0.00, 1.41, 0.00, 0.04, 0.00, 0.01, 0.62, 0.54, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
