frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
11,  0,  0.334,  0.98,  1,  -1.2,  -26.3,  399.2,  0.202,  -0.002,  0.103, 0.00, 0.07, 0.00, 0.59, 0.90, 1.00, 0.00, 0.72, 2.02, 0.00, 0.03, 0.00, 0.03, 0.00, 1.34, 0.71, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1,  -0.7,  -27.6,  400.2,  0.189,  0.001,  0.104, 0.00, 0.07, 0.00, 0.55, 0.95, 1.05, 0.00, 0.71, 2.09, 0.00, 0.06, 0.00, 0.03, 0.00, 1.43, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1,  -0.4,  -28.5,  401.4,  0.187,  0.003,  0.108, 0.00, 0.07, 0.00, 0.35, 1.00, 1.23, 0.02, 0.65, 2.13, 0.00, 0.10, 0.00, 0.00, 0.00, 1.41, 0.55, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
14,  0,  0.434,  0.98,  1,  -0.7,  -29.0,  402.4,  0.176,  0.008,  0.110, 0.00, 0.00, 0.00, 0.23, 1.02, 1.23, 0.03, 0.69, 2.16, 0.00, 0.17, 0.00, 0.02, 0.00, 1.46, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
15,  0,  0.467,  0.98,  1,  -1.1,  -28.9,  403.1,  0.183,  0.014,  0.112, 0.00, 0.00, 0.00, 0.03, 1.06, 1.40, 0.05, 0.64, 2.17, 0.00, 0.21, 0.00, 0.02, 0.00, 1.49, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
16,  0,  0.501,  0.98,  1,  -1.5,  -28.6,  403.5,  0.183,  0.017,  0.110, 0.00, 0.00, 0.00, 0.03, 1.07, 1.37, 0.07, 0.58, 2.17, 0.00, 0.27, 0.00, 0.03, 0.00, 1.51, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
17,  0,  0.534,  0.98,  1,  -1.7,  -28.5,  404.7,  0.185,  0.021,  0.107, 0.00, 0.00, 0.00, 0.00, 1.05, 1.47, 0.06, 0.51, 2.14, 0.00, 0.26, 0.00, 0.09, 0.00, 1.48, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
18,  0,  0.567,  0.98,  1,  -2.2,  -28.2,  404.8,  0.186,  0.025,  0.101, 0.00, 0.00, 0.00, 0.00, 0.98, 1.50, 0.04, 0.32, 2.08, 0.00, 0.18, 0.00, 0.12, 0.07, 1.24, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
19,  0,  0.601,  0.98,  1,  -2.5,  -28.0,  406.0,  0.190,  0.033,  0.094, 0.00, 0.00, 0.00, 0.04, 0.89, 1.39, 0.00, 0.16, 2.02, 0.02, 0.09, 0.11, 0.31, 0.30, 0.76, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
20,  0,  0.634,  0.98,  1,  -2.7,  -28.3,  406.2,  0.179,  0.037,  0.088, 0.00, 0.00, 0.00, 0.04, 0.79, 1.26, 0.00, 0.00, 1.95, 0.02, 0.11, 0.27, 0.36, 0.51, 0.31, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.667,  0.98,  1,  -2.6,  -28.0,  405.3,  0.187,  0.041,  0.083, 0.00, 0.01, 0.00, 0.04, 0.67, 1.04, 0.00, 0.00, 1.78, 0.02, 0.16, 0.45, 0.51, 0.53, 0.10, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.701,  0.98,  1,  -2.0,  -27.1,  402.4,  0.197,  0.053,  0.078, 0.00, 0.01, 0.00, 0.04, 0.58, 1.00, 0.00, 0.00, 1.59, 0.00, 0.24, 0.47, 0.66, 0.35, 0.10, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.734,  0.98,  1,  -1.1,  -25.8,  399.8,  0.199,  0.061,  0.075, 0.00, 0.01, 0.00, 0.04, 0.46, 0.96, 0.00, 0.00, 1.35, 0.00, 0.24, 0.60, 0.76, 0.27, 0.05, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.767,  0.98,  1,  0.4,  -24.2,  396.1,  0.196,  0.069,  0.072, 0.00, 0.00, 0.00, 0.04, 0.37, 0.96, 0.00, 0.00, 1.24, 0.00, 0.24, 0.78, 0.67, 0.31, 0.00, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.801,  0.98,  1,  2.1,  -22.4,  392.7,  0.198,  0.070,  0.068, 0.00, 0.03, 0.00, 0.00, 0.33, 0.92, 0.00, 0.00, 1.17, 0.00, 0.22, 0.96, 0.39, 0.35, 0.00, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.834,  0.98,  1,  3.5,  -20.3,  388.8,  0.203,  0.070,  0.064, 0.00, 0.03, 0.00, 0.00, 0.43, 1.00, 0.00, 0.00, 1.23, 0.00, 0.25, 0.86, 0.15, 0.29, 0.07, 0.45, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.868,  0.98,  1,  5.0,  -18.4,  386.2,  0.210,  0.072,  0.059, 0.00, 0.03, 0.00, 0.00, 0.55, 1.08, 0.00, 0.03, 1.34, 0.00, 0.26, 0.65, 0.08, 0.23, 0.27, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  0.901,  0.98,  1,  5.8,  -17.0,  382.4,  0.201,  0.070,  0.053, 0.00, 0.00, 0.00, 0.00, 0.68, 1.25, 0.05, 0.08, 1.39, 0.00, 0.22, 0.37, 0.00, 0.14, 0.63, 0.74, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
29,  0,  0.934,  0.98,  1,  6.4,  -16.2,  378.6,  0.185,  0.073,  0.049, 0.00, 0.00, 0.00, 0.00, 0.72, 1.33, 0.16, 0.21, 1.44, 0.00, 0.17, 0.20, 0.00, 0.09, 0.91, 0.94, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
30,  0,  0.968,  0.98,  1,  7.2,  -16.1,  376.0,  0.183,  0.076,  0.041, 0.00, 0.00, 0.00, 0.00, 0.77, 1.32, 0.29, 0.28, 1.53, 0.00, 0.13, 0.05, 0.00, 0.06, 1.11, 0.93, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
31,  0,  1.001,  0.98,  1,  8.2,  -16.8,  374.2,  0.182,  0.077,  0.034, 0.00, 0.00, 0.00, 0.00, 0.78, 1.34, 0.34, 0.32, 1.70, 0.00, 0.08, 0.06, 0.00, 0.12, 1.03, 0.77, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
32,  0,  1.034,  0.98,  1,  9.1,  -17.3,  372.0,  0.185,  0.082,  0.030, 0.00, 0.00, 0.00, 0.00, 0.77, 1.28, 0.33, 0.22, 1.81, 0.00, 0.07, 0.04, 0.00, 0.18, 0.91, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
33,  0,  1.068,  0.98,  1,  9.9,  -17.8,  370.2,  0.187,  0.086,  0.033, 0.00, 0.00, 0.00, 0.00, 0.78, 1.50, 0.31, 0.18, 1.86, 0.00, 0.09, 0.04, 0.00, 0.21, 0.77, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
34,  0,  1.101,  0.98,  1,  10.4,  -17.6,  366.9,  0.189,  0.091,  0.033, 0.00, 0.00, 0.00, 0.00, 0.80, 1.48, 0.28, 0.14, 1.90, 0.00, 0.09, 0.00, 0.00, 0.20, 0.74, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
35,  0,  1.134,  0.98,  1,  10.8,  -17.0,  365.5,  0.188,  0.096,  0.036, 0.00, 0.00, 0.00, 0.00, 0.80, 1.55, 0.23, 0.14, 1.92, 0.00, 0.07, 0.00, 0.00, 0.16, 0.86, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
36,  0,  1.168,  0.98,  1,  11.2,  -15.7,  363.4,  0.199,  0.098,  0.038, 0.00, 0.00, 0.00, 0.00, 0.79, 1.31, 0.19, 0.16, 1.89, 0.00, 0.07, 0.00, 0.00, 0.10, 0.97, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
37,  0,  1.201,  0.98,  1,  11.7,  -13.9,  362.4,  0.214,  0.100,  0.041, 0.00, 0.00, 0.00, 0.00, 0.80, 1.31, 0.18, 0.23, 1.85, 0.00, 0.08, 0.10, 0.00, 0.05, 1.01, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
38,  0,  1.235,  0.98,  1,  12.1,  -12.3,  361.8,  0.230,  0.100,  0.042, 0.00, 0.00, 0.00, 0.00, 0.84, 1.27, 0.20, 0.34, 1.80, 0.00, 0.06, 0.20, 0.00, 0.01, 0.93, 0.41, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
39,  0,  1.268,  0.98,  1,  12.1,  -11.4,  361.2,  0.223,  0.105,  0.041, 0.00, 0.00, 0.00, 0.00, 0.87, 1.35, 0.22, 0.42, 1.78, 0.00, 0.03, 0.35, 0.00, 0.01, 0.83, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
40,  0,  1.301,  0.98,  1,  12.2,  -11.0,  361.7,  0.221,  0.106,  0.040, 0.00, 0.00, 0.00, 0.00, 0.83, 1.42, 0.19, 0.42, 1.73, 0.00, 0.02, 0.42, 0.00, 0.00, 0.75, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
41,  0,  1.335,  0.98,  1,  12.1,  -11.5,  364.6,  0.218,  0.110,  0.038, 0.00, 0.00, 0.00, 0.00, 0.76, 1.54, 0.12, 0.35, 1.70, 0.00, 0.02, 0.50, 0.00, 0.07, 0.57, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
42,  0,  1.368,  0.98,  1,  12.0,  -12.5,  367.0,  0.210,  0.109,  0.037, 0.00, 0.00, 0.00, 0.00, 0.64, 1.46, 0.04, 0.22, 1.65, 0.00, 0.00, 0.71, 0.00, 0.32, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  1.401,  0.98,  1,  11.8,  -13.9,  370.0,  0.190,  0.111,  0.036, 0.00, 0.00, 0.00, 0.00, 0.57, 1.30, 0.01, 0.12, 1.58, 0.00, 0.06, 0.91, 0.05, 0.56, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
44,  0,  1.435,  0.98,  1,  11.6,  -14.7,  372.9,  0.188,  0.115,  0.033, 0.00, 0.00, 0.00, 0.00, 0.52, 1.15, 0.00, 0.09, 1.55, 0.00, 0.10, 1.10, 0.10, 0.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45,  0,  1.468,  0.98,  1,  10.9,  -14.9,  373.9,  0.188,  0.118,  0.033, 0.00, 0.00, 0.00, 0.00, 0.48, 1.11, 0.00, 0.06, 1.46, 0.00, 0.15, 1.13, 0.15, 0.65, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46,  0,  1.502,  0.98,  1,  9.6,  -14.9,  374.6,  0.183,  0.128,  0.031, 0.00, 0.00, 0.00, 0.00, 0.45, 1.10, 0.04, 0.03, 1.40, 0.00, 0.21, 1.10, 0.19, 0.59, 0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  1.535,  0.98,  1,  8.2,  -14.9,  374.8,  0.186,  0.130,  0.030, 0.00, 0.00, 0.00, 0.02, 0.41, 0.93, 0.07, 0.00, 1.31, 0.00, 0.20, 1.02, 0.14, 0.56, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  1.568,  0.98,  1,  6.9,  -14.8,  373.2,  0.186,  0.128,  0.029, 0.00, 0.00, 0.00, 0.02, 0.43, 0.98, 0.13, 0.08, 1.32, 0.00, 0.22, 0.81, 0.09, 0.38, 0.26, 0.44, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  1.602,  0.98,  1,  5.7,  -14.5,  373.3,  0.191,  0.134,  0.029, 0.00, 0.00, 0.00, 0.02, 0.41, 1.03, 0.19, 0.21, 1.33, 0.00, 0.23, 0.61, 0.00, 0.19, 0.51, 0.62, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
50,  0,  1.635,  0.98,  1,  4.7,  -14.1,  373.6,  0.194,  0.131,  0.031, 0.00, 0.00, 0.00, 0.00, 0.45, 1.11, 0.24, 0.39, 1.40, 0.00, 0.31, 0.48, 0.00, 0.00, 0.84, 0.82, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
51,  0,  1.668,  0.98,  1,  3.9,  -13.5,  374.8,  0.206,  0.123,  0.029, 0.00, 0.00, 0.00, 0.00, 0.55, 1.26, 0.29, 0.47, 1.50, 0.00, 0.25, 0.41, 0.00, 0.00, 0.96, 0.66, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
52,  0,  1.702,  0.98,  1,  3.4,  -12.6,  375.1,  0.229,  0.109,  0.024, 0.00, 0.00, 0.00, 0.00, 0.64, 1.29, 0.30, 0.45, 1.59, 0.00, 0.21, 0.40, 0.00, 0.04, 1.11, 0.48, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
53,  0,  1.735,  0.98,  1,  2.5,  -11.8,  374.1,  0.241,  0.100,  0.020, 0.00, 0.00, 0.00, 0.00, 0.72, 1.44, 0.27, 0.46, 1.66, 0.00, 0.16, 0.32, 0.00, 0.08, 1.20, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
54,  0,  1.768,  0.98,  1,  1.4,  -10.8,  371.6,  0.244,  0.099,  0.021, 0.00, 0.00, 0.00, 0.00, 0.75, 1.50, 0.24, 0.55, 1.65, 0.00, 0.15, 0.29, 0.00, 0.08, 1.20, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
55,  0,  1.802,  0.93,  1,  0.4,  -10.2,  369.2,  0.239,  0.097,  0.024, 0.00, 0.00, 0.00, 0.00, 0.77, 1.56, 0.22, 0.63, 1.63, 0.00, 0.07, 0.25, 0.00, 0.07, 1.21, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
56,  0,  1.835,  0.93,  1,  -0.5,  -9.5,  366.2,  0.238,  0.094,  0.027, 0.00, 0.00, 0.00, 0.00, 0.77, 1.56, 0.19, 0.65, 1.59, 0.00, 0.02, 0.29, 0.00, 0.03, 1.11, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
57,  0,  1.869,  0.93,  1,  -1.5,  -8.6,  363.8,  0.228,  0.095,  0.031, 0.00, 0.00, 0.00, 0.00, 0.73, 1.34, 0.16, 0.55, 1.55, 0.00, 0.10, 0.30, 0.00, 0.03, 1.03, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
58,  0,  1.902,  0.93,  1,  -2.7,  -7.6,  361.5,  0.227,  0.097,  0.031, 0.02, 0.00, 0.00, 0.00, 0.72, 1.21, 0.10, 0.56, 1.55, 0.00, 0.15, 0.29, 0.00, 0.03, 0.89, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
59,  0,  1.935,  0.93,  1,  -4.0,  -7.0,  358.0,  0.223,  0.097,  0.031, 0.02, 0.00, 0.00, 0.00, 0.72, 1.16, 0.06, 0.53, 1.52, 0.00, 0.17, 0.31, 0.00, 0.05, 0.89, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
